,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
0,1351,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,115,Clean,Neutral,Very satisfied,Mr.Stones,It was terrible
1,373,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,135,Clean,Very safe,Very satisfied,Mr.Dan,I did not like the flight
2,2820,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,70,Average,Somewhat safe,Neutral,Ms.Bob,I hate this
3,1157,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,190,Clean,Very safe,Somewhat satsified,Dr.Mos,Not a fan
4,2992,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,559,Somewhat clean,Very safe,Somewhat satsified,Miss Volks,Bad
5,634,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Very satisfied,Mr.Jones,Horrible
6,2578,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,63,Clean,Very safe,Somewhat satsified,Mr.Bim,Very poor
8,2592,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Very safe,Neutral,Ms.Craig,Unacceptable flight
9,919,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,70,Somewhat clean,Somewhat safe,Somewhat satsified,Dr.Tol,It was awful
10,3028,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,180,Average,Very safe,Neutral,Miss Jigs,My fllight was really unpleasant
11,1129,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,540,Clean,Very safe,Somewhat satsified,Mr.Stones,I am not a fan
12,2648,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,192,Somewhat clean,Very safe,Somewhat satsified,Mr.Dan,I had a bad flight
13,3104,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,107,Clean,Very safe,Somewhat satsified,Ms.Bob,It was very bad
14,2589,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,Dr.Mos,it was horrible
